Number of sites: 278214	Number of sequences: 259
col 1 name	col2 weight	fraction thats actg	fractionof seq thats actg-
Europe_United_Kingdom_NC_006273.2_Human_herpesvirus_5_strain_Merlin_complete_genome	0.2143	0.9908	1.0000
africa_uganda_denovo_gannt_02-579-Pa_KP745726.1	0.2365	0.9872	1.0000
africa_uganda_denovo_gannt_02-520-S1a_KP745726.1	0.2715	0.9820	1.0000
africa_uganda_denovo_gannt_02-519-Pc_KC519321	0.2449	0.9835	1.0000
africa_uganda_denovo_gannt_02-505-Pa_KP745656	0.2552	0.9785	1.0000
africa_kenya_refbased_mbaby_noN_12-Pre38W-CV	0.2351	0.9778	1.0000
africa_kenya_refbased_mbaby_noN_14-2W-BM	0.2713	0.9678	1.0000
africa_kenya_refbased_mbaby_noN_22-6W-BM	0.2594	0.9659	1.0000
africa_kenya_refbased_mbaby_noN_41-2W-BM	0.2762	0.9646	1.0000
africa_kenya_refbased_mbaby_noN_123-6M-BM	0.3003	0.9676	1.0000
africa_zambia_refbased_noN_ERR3163275	0.2451	0.9639	1.0000
africa_zambia_refbased_noN_ERR3163259	0.2522	0.9611	1.0000
africa_zambia_refbased_noN_ERR3163258	0.2900	0.9552	1.0000
africa_zambia_refbased_noN_ERR3163257	0.2287	0.9731	0.9998
africa_zambia_refbased_noN_ERR3163254	0.2234	0.9726	0.9997
africa_zambia_refbased_noN_ERR3163253	0.3033	0.9490	0.9999
africa_zambia_refbased_noN_ERR3163252	0.3235	0.9506	1.0000
africa_zambia_refbased_noN_ERR3163236	0.2668	0.9582	1.0000
africa_zambia_refbased_noN_ERR3163233	0.2620	0.9562	0.9999
africa_zambia_refbased_noN_ERR3163231	0.2305	0.9713	0.9998
africa_zambia_refbased_noN_ERR3163179	0.2719	0.9669	1.0000
africa_zambia_refbased_noN_ERR3163330	0.2898	0.9567	0.9999
africa_zambia_refbased_noN_ERR3163329	0.3176	0.9501	1.0000
africa_zambia_refbased_noN_ERR3163277	0.2598	0.9593	0.9999
